bin_index,range_m,analog,analog_sterr,photon_counting,pc_sterr,overflow_info,photon_counting_shifted,pc_sterr_shifted,SNR_analog,SNR_Photon,photon_deadtime_corr_hz,photon_deadtime_corr,analog_bg_corr,photon_bg_corr,afterpulse_profile,photon_APcorr,analog_scaled_for_glue,weight_w,merged_sig,overlap_func,merged_counts_ovcorr,range2_corrected_counts,range2_corrected_counts_overlap,nrb,range2_norm
10,37.5,43.157,0.0859415,190.477,0.881036,0.0,190.477,0.881036,502.1671718552736,216.1966139862616,456625656.81126344,456.62565681126347,37.473361478521475,456.6186173437299,22.943506666970173,433.6821501442933,2788.937168069974,0.0,2788.937168069974,0.2,13944.68584034987,3921942.8925984013,19609714.462992005,156877715.70393604,0.07011999746533633
11,41.25,41.5197,0.0876206,191.782,0.879667,0.0,191.782,0.879667,473.8577457812432,218.0165903688555,464197883.2332544,464.19788323325434,35.83606147852148,464.1908437657208,21.868096971831555,442.3297862614228,2667.63681881898,0.0,2667.63681881898,0.2,13338.184094094899,4539150.77452167,22695753.872608352,181566030.9808668,0.08115499116647405
12,45.0,39.6022,0.0834615,188.87,0.878297,0.0,188.87,0.878297,474.4966241919928,215.04115350502167,447497949.33300614,447.49794933300615,33.91856147852148,447.4909098654726,20.853158273520616,426.64479105948556,2525.577685069037,0.0,2525.577685069037,0.2,12627.888425345185,5114294.8122648,25571474.061324,204571792.490592,0.09143792989688285
13,48.75,37.8195,0.0853748,190.711,0.85604,0.0,190.711,0.85604,442.98200405740334,222.78281388720154,457972749.6236172,457.9727496236172,32.13586147852148,457.9657101560836,19.895096566880543,438.0776530567366,2393.5052899003153,0.0,2393.5052899003153,0.2,11967.526449501576,5688314.915528718,28441574.57764359,227532596.62114874,0.10170077392295969
14,52.5,36.4977,0.084554,189.289,0.883776,0.0,189.289,0.883776,431.64959670742957,214.1821004417409,449857294.5022533,449.8572945022533,30.81406147852148,449.85025503471974,18.99053455811675,430.86675994413656,2295.578946750029,0.0,2295.578946750029,0.2,11477.894733750145,6327189.471979767,31635947.359898835,253087578.87919068,0.11312314378039928
15,56.25,35.4446,0.0842327,190.745,0.86734,0.0,190.745,0.86734,420.79382472602686,219.91952406207486,458168866.61544013,458.16886661544015,29.76096147852148,458.1618271479066,18.13629855037899,440.0325680650612,2217.55940372418,0.0,2217.55940372418,0.2,11087.797018620899,7016496.550846038,35082482.75423019,280659862.0338415,0.12544719131157545
16,60.0,34.9364,0.0897012,189.439,0.855698,0.0,189.439,0.855698,389.47528015232797,221.3853485692382,450705427.66494197,450.70542766494196,29.252761478521478,450.6983881974084,17.329406123675696,433.37602154126625,2179.9091029305832,0.0,2179.9091029305832,0.2,10899.545514652915,7847672.770550099,39238363.852750495,313906910.82200396,0.14030770203672857
17,63.75,34.4577,0.0901308,188.987,0.857067,0.0,188.987,0.857067,382.3077127907442,220.5043479681285,448155320.3561074,448.15532035610744,28.77406147852148,448.1482808885739,16.56705456099788,431.5882657951096,2144.4443272716017,0.0,2144.4443272716017,0.2,10722.221636358008,8715155.773802243,43575778.869011216,348606230.9520897,0.15581733786137528
18,67.5,33.5213,0.0913491,187.699,0.879324,0.0,187.699,0.879324,366.9581856854637,213.45829296141127,440979542.71610916,440.97954271610917,27.837661478521476,440.9725032485756,15.846609975445318,425.1329327406638,2075.070573507092,0.0,2075.070573507092,0.2,10375.35286753546,9454540.300541688,47272701.502708435,378181612.0216675,0.1690367147265314
19,71.25,32.8902,0.0960053,189.004,0.858094,0.0,189.004,0.858094,342.58733632414044,220.26025120790962,448250928.68986195,448.25092868986195,27.20656147852148,448.2438892223284,15.16559709588684,433.0853315939751,2028.3151527458986,0.0,2028.3151527458986,0.2,10141.575763729492,10296868.6426116,51484343.213058,411874745.704464,0.1840966130545745
