range_raw,range (m) for NRB,range (m),copol_raw,copol_snr,copol_nrb,pbls,Normalize copol nrb
3.3576756,3357.6756,3447.6132000000002,0.37980068,4.317099,0.068200365,,0.13230851752281136
3.3876548,3387.6548,3477.5925,0.37615645,3.778978,0.07863905,,0.15255953725324253
3.417634,3417.634,3507.5717,0.3757846,3.6956384,0.071624905,,0.13895211555337275
3.4476132,3447.6132000000002,3537.5512,0.37664732,3.8789685,0.05467932,,0.10607772800564057
3.4775925,3477.5925,3567.5304,0.3789975,4.165186,0.07327649,,0.14215618583822992
3.5075717,3507.5717,3597.5096,0.37611187,3.768609,0.08451222,,0.16395347064142088
3.537551,3537.551,3627.4889,0.37048936,2.93268,0.066850595,,0.12968996749457082
3.5675302,3567.5302,3657.4680000000003,0.376216,3.7809324,0.063050516,,0.12231782485340507
3.5975094,3597.5094,3687.4473000000003,0.37942883,4.281447,0.07637392,,0.14816519138285833
3.6274889,3627.4889,3717.4265,0.37356836,3.3601274,0.07438724,,0.14431103773438123
3.657468,3657.4680000000003,3747.4058,0.37095046,2.9532824,0.068859726,,0.13358767602031144
3.6874473,3687.4473000000003,3777.385,0.37492192,3.6163695,0.07764867,,0.15063820282073265
3.7174265,3717.4265,3807.3642,0.37518966,3.681324,0.074875616,,0.14525848580967704
3.7474058,3747.4058,3837.3435,0.37282464,3.2865205,0.06719622,,0.130360479028766
3.777385,3777.385,3867.3226999999997,0.37450543,3.4924033,0.07582378,,0.14709792132015412
3.8073642,3807.3642,3897.3019999999997,0.37396997,3.4287853,0.07912701,,0.15350617828970078
3.8373435,3837.3435,3927.2811,0.3707422,2.9583724,0.07218097,,0.1400308800995203
3.8673227,3867.3226999999997,3957.2606,0.37333035,3.3142881,0.06481536,,0.12574161728177446
3.897302,3897.3019999999997,3987.2398,0.37288415,3.257909,0.07922491,,0.15369610401613176
3.9272811,3927.2811,4017.219,0.37100995,2.958604,0.06435737,,0.12485311796156888
3.9572604,3957.2604,4047.1983,0.3692548,2.7195766,0.06631587,,0.12865260248879137
3.9872396,3987.2396,4077.1775000000002,0.37255687,3.2657623,0.07692859,,0.14924124963290403
4.017219,4017.219,4107.156800000001,0.3691507,2.7008781,0.0674769,,0.1309049974444417
4.0471983,4047.1983,4137.1359999999995,0.36863008,2.5946326,0.055320106,,0.10732085105504614
4.0771775,4077.1775000000002,4167.115,0.3710992,3.026467,0.073500924,,0.14259158717107784
4.1071568,4107.156800000001,4197.0944,0.36852595,2.6351118,0.07537156,,0.14622061578382503
4.137136,4137.1359999999995,4227.0737,0.3652982,2.1240103,0.05858071,,0.11364641370370569
4.167115,4167.115,4257.053,0.36940348,2.7416449,0.06042419,,0.11722275975233686
4.1970944,4197.0944,4287.032,0.36955228,2.716619,0.07629011,,0.14800260021705464
4.2270737,4227.0737,4317.0114,0.36547673,2.1170456,0.07234991,,0.1403586232274391
4.257053,4257.053,4346.9906,0.3658188,2.177265,0.056495354,,0.10960082889096606
4.287032,4287.032,4376.97,0.3689573,2.7187831,0.07086254,,0.13747312958370414
4.3170114,4317.0114,4406.949,0.3681541,2.5249262,0.08041892,,0.1560124800796237
4.3469906,4346.9906,4436.9283,0.3643909,1.9444071,0.08089813,,0.1569421461405327
4.37697,4376.97,4466.907499999999,0.3671873,2.4675157,0.071081355,,0.13789763007225364
4.406949,4406.949,4496.8867,0.36912093,2.707105,0.05820185,,0.11291142636238147
4.4369283,4436.9283,4526.866,0.3689573,2.6801171,0.06284786,,0.12192467277970133
4.4669075,4466.907499999999,4556.845,0.3666072,2.290935,0.071464404,,0.13864074406187224
4.4968867,4496.8867,4586.825,0.3637513,1.9013879,0.051518228,,0.09994521835890748
4.526866,4526.866,4616.804,0.3645694,1.9979583,0.06476429,,0.12564254162448305
4.556845,4556.845,4646.7834,0.3660717,2.242071,0.06694491,,0.12987293833101962
4.5868244,4586.8244,4676.7626,0.3619515,1.6205975,0.07638179,,0.14818045916086664
4.6168036,4616.8036,4706.742,0.36456937,1.988362,0.07850654,,0.15230246822352478
4.646783,4646.783,4736.7210000000005,0.36476272,2.0211601,0.07392224,,0.1434089390337642
4.676762,4676.762,4766.7003,0.36623532,2.2436504,0.077649534,,0.15063987897831832
4.706742,4706.742,4796.6795,0.3665031,2.292035,0.08278327,,0.16059931247275033
4.736721,4736.7210000000005,4826.6587,0.3654172,2.1314838,0.051888242,,0.10066304448495073
4.7667003,4766.7003,4856.638,0.3660122,2.1929872,0.04367931,,0.08473773934376025
4.7966795,4796.6795,4886.617,0.3667559,2.3219728,0.05213034,,0.10113271392843885
4.8266587,4826.6587,4916.5964,0.36111856,1.4926454,0.07347083,,0.14253320489517166
4.856638,4856.638,4946.5756,0.35967577,1.2941995,0.06813163,,0.1321751718148825
4.886617,4886.617,4976.555,0.36095494,1.4680539,0.06486492,,0.1258377635432854
4.9165964,4916.5964,5006.534000000001,0.36443552,1.9663186,0.07166615,,0.13903213073811888
4.9465756,4946.5756,5036.5133000000005,0.36337945,1.8114501,0.07091052,,0.13756621064963018
4.976555,4976.555,5066.4926000000005,0.36266547,1.6708525,0.08409434,,0.16314278460913306
5.006534,5006.534000000001,5096.472000000001,0.36360252,1.8471137,0.063040465,,0.12229832594149131
5.0365133,5036.5133000000005,5126.451,0.36333483,1.8511511,0.05868222,,0.113843342820049
5.0664926,5066.4926000000005,5156.4302,0.36537254,2.1250331,0.07567647,,0.14681214033179305
5.096472,5096.472000000001,5186.4095,0.3618771,1.6037989,0.09328899,,0.18098037991586077
5.126451,5126.451,5216.3887,0.3610739,1.4661628,0.03702949,,0.07183710712583088
5.1564302,5156.4302,5246.368,0.36360255,1.8796986,0.06470386,,0.12552530759334693
5.1864095,5186.4095,5276.347000000001,0.36604196,2.2264197,0.06498573,,0.12607213460569733
5.2163887,5216.3887,5306.3264,0.3576677,0.9327969,0.06882725,,0.1335246726710615
5.246368,5246.368,5336.305600000001,0.36159453,1.5425473,0.042839292,,0.083108106771083
5.276347,5276.347000000001,5366.285000000001,0.3615499,1.5637802,0.051655207,,0.1002109572361372
5.3063264,5306.3264,5396.264,0.3619664,1.6085066,0.041420713,,0.0803560674751204
5.3363056,5336.305600000001,5426.244,0.3581139,1.0265055,0.07524718,,0.145979318931389
5.366285,5366.285000000001,5456.223,0.35924438,1.2245861,0.067039505,,0.130056452366686
5.396264,5396.264,5486.2022,0.35778672,0.95252925,0.07639325,,0.1482026915288431
5.4262433,5426.2433,5516.1815,0.36238286,1.6683909,0.032578543,,0.06320228238343245
5.4562225,5456.2225,5546.160699999999,0.36105907,1.5060065,0.06666144,,0.12932300732314025
5.486202,5486.201999999999,5576.139999999999,0.36241257,1.675255,0.067181624,,0.13033216282955265
5.516181,5516.181,5606.119,0.35641825,0.81653696,0.08810204,,0.1709177114101285
