range_m,afterpulse_counts_per_bin,afterpulse_raw
2043.75,0,0
2047.5,0,0
2051.25,0,0
2055,0,0
2058.75,0,0
2062.5,0,0
2066.25,0,0
2070,0,0
2073.75,0,0
2077.5,0,0
2081.25,0,0
2085,0,0
2088.75,0,0
2092.5,0,0
2096.25,0,0
2100,0,0
2103.75,0,0
2107.5,0,0
2111.25,0,0
2115,0,0
2118.75,0,0
2122.5,0,0
2126.25,0,0
2130,0,0
2133.75,0.003327775,0.133111
2137.5,0,0
2141.25,0,0
2145,0,0
2148.75,0.001663893,0.0665557
2152.5,0,0
2156.25,0,0
2160,0,0
2163.75,0,0
2167.5,0,0
2171.25,0,0
2175,0,0
2178.75,0,0
2182.5,0,0
2186.25,0,0
2190,0,0
2193.75,0,0
2197.5,0,0
2201.25,0,0
2205,0,0
2208.75,0,0
2212.5,0,0
2216.25,0,0
2220,0,0
2223.75,0,0
2227.5,0,0
2231.25,0,0
2235,0,0
2238.75,0,0
2242.5,0,0
2246.25,0,0
2250,0,0
2253.75,0,0
2257.5,0,0
2261.25,0,0
2265,0,0
2268.75,0,0
2272.5,0,0
2276.25,0,0
2280,0,0
2283.75,0,0
2287.5,0,0
2291.25,0,0
2295,0,0
2298.75,0,0
2302.5,0,0
2306.25,0,0
2310,0,0
2313.75,0,0
2317.5,0,0
2321.25,0,0
2325,0,0
2328.75,0.001663893,0.0665557
2332.5,0,0
2336.25,0.001663893,0.0665557
2340,0,0
2343.75,0,0
2347.5,0,0
2351.25,0,0
2355,0,0
2358.75,0.001663893,0.0665557
2362.5,0,0
2366.25,0,0
2370,0,0
2373.75,0,0
2377.5,0,0
2381.25,0,0
2385,0,0
2388.75,0,0
2392.5,0,0
2396.25,0,0
2400,0,0
2403.75,0,0
2407.5,0,0
2411.25,0,0
2415,0,0
2418.75,0,0
2422.5,0,0
2426.25,0,0
2430,0,0
2433.75,0,0
2437.5,0,0
2441.25,0,0
2445,0,0
2448.75,0,0
2452.5,0,0
2456.25,0,0
2460,0,0
2463.75,0,0
2467.5,0,0
2471.25,0,0
2475,0,0
2478.75,0,0
2482.5,0,0
2486.25,0,0
2490,0,0
2493.75,0.001663893,0.0665557
2497.5,0,0
2501.25,0,0
2505,0,0
2508.75,0,0
2512.5,0,0
2516.25,0,0
2520,0,0
2523.75,0,0
2527.5,0,0
2531.25,0.001663893,0.0665557
2535,0,0
2538.75,0,0
2542.5,0,0
2546.25,0,0
2550,0,0
2553.75,0,0
2557.5,0,0
2561.25,0,0
2565,0,0
2568.75,0,0
2572.5,0,0
2576.25,0,0
2580,0,0
2583.75,0,0
2587.5,0,0
2591.25,0,0
2595,0,0
2598.75,0,0
2602.5,0,0
2606.25,0,0
2610,0,0
2613.75,0,0
2617.5,0,0
2621.25,0,0
2625,0,0
2628.75,0.001663893,0.0665557
2632.5,0,0
2636.25,0,0
2640,0,0
2643.75,0,0
2647.5,0,0
2651.25,0,0
2655,0,0
2658.75,0,0
2662.5,0,0
2666.25,0,0
2670,0,0
2673.75,0,0
2677.5,0,0
2681.25,0,0
2685,0,0
2688.75,0,0
2692.5,0,0
2696.25,0,0
2700,0,0
2703.75,0,0
2707.5,0,0
2711.25,0,0
2715,0,0
2718.75,0,0
2722.5,0,0
2726.25,0,0
2730,0,0
2733.75,0,0
2737.5,0.001663893,0.0665557
2741.25,0,0
2745,0,0
2748.75,0,0
2752.5,0,0
2756.25,0,0
2760,0,0
2763.75,0,0
2767.5,0,0
2771.25,0,0
2775,0,0
2778.75,0,0
2782.5,0,0
2786.25,0,0
2790,0.001663893,0.0665557
2793.75,0,0
2797.5,0,0
2801.25,0,0
2805,0,0
2808.75,0,0
2812.5,0,0
2816.25,0,0
2820,0,0
2823.75,0,0
2827.5,0,0
2831.25,0,0
2835,0,0
2838.75,0,0
2842.5,0,0
2846.25,0,0
2850,0,0
2853.75,0,0
2857.5,0,0
2861.25,0,0
2865,0.001663893,0.0665557
2868.75,0,0
2872.5,0.001663893,0.0665557
2876.25,0,0
2880,0,0
2883.75,0,0
2887.5,0,0
2891.25,0,0
2895,0,0
2898.75,0,0
2902.5,0,0
2906.25,0,0
2910,0,0
2913.75,0,0
2917.5,0,0
2921.25,0,0
2925,0.001663893,0.0665557
2928.75,0,0
2932.5,0,0
2936.25,0,0
2940,0,0
2943.75,0,0
2947.5,0,0
2951.25,0,0
2955,0,0
2958.75,0,0
2962.5,0,0
2966.25,0,0
2970,0,0
2973.75,0,0
2977.5,0,0
2981.25,0,0
2985,0.001663893,0.0665557
2988.75,0,0
2992.5,0,0
2996.25,0,0
3000,0,0
3003.75,0,0
3007.5,0,0
3011.25,0,0
3015,0,0
3018.75,0,0
3022.5,0,0
3026.25,0,0
3030,0,0
3033.75,0,0
3037.5,0,0
3041.25,0,0
3045,0,0
3048.75,0.003327775,0.133111
3052.5,0.001663893,0.0665557
3056.25,0,0
3060,0,0
3063.75,0,0
3067.5,0,0
3071.25,0,0
3075,0,0
3078.75,0,0
3082.5,0,0
3086.25,0,0
3090,0,0
3093.75,0,0
3097.5,0,0
3101.25,0,0
3105,0,0
3108.75,0,0
3112.5,0,0
3116.25,0,0
3120,0,0
3123.75,0,0
3127.5,0,0
3131.25,0,0
3135,0,0
3138.75,0,0
3142.5,0,0
3146.25,0,0
3150,0,0
3153.75,0,0
3157.5,0,0
3161.25,0,0
3165,0,0
3168.75,0,0
3172.5,0,0
3176.25,0,0
3180,0,0
3183.75,0,0
3187.5,0,0
3191.25,0,0
3195,0,0
3198.75,0,0
3202.5,0,0
3206.25,0,0
3210,0.001663893,0.0665557
3213.75,0,0
3217.5,0,0
3221.25,0,0
3225,0,0
3228.75,0,0
3232.5,0,0
3236.25,0,0
3240,0,0
3243.75,0.001663893,0.0665557
3247.5,0,0
3251.25,0,0
3255,0,0
3258.75,0,0
3262.5,0,0
3266.25,0,0
3270,0,0
3273.75,0,0
3277.5,0,0
3281.25,0,0
3285,0.001663893,0.0665557
3288.75,0,0
3292.5,0,0
3296.25,0,0
3300,0,0
3303.75,0,0
3307.5,0,0
3311.25,0,0
3315,0,0
3318.75,0,0
3322.5,0,0
3326.25,0,0
3330,0,0
3333.75,0,0
3337.5,0,0
3341.25,0,0
3345,0,0
3348.75,0,0
3352.5,0.003327775,0.133111
3356.25,0,0
3360,0,0
3363.75,0,0
3367.5,0,0
3371.25,0,0
3375,0,0
3378.75,0,0
3382.5,0,0
3386.25,0,0
3390,0,0
3393.75,0,0
3397.5,0,0
3401.25,0.001663893,0.0665557
3405,0,0
3408.75,0,0
3412.5,0,0
3416.25,0,0
3420,0,0
3423.75,0,0
3427.5,0,0
3431.25,0,0
3435,0,0
3438.75,0.001663893,0.0665557
3442.5,0,0
3446.25,0,0
3450,0,0
3453.75,0,0
3457.5,0,0
3461.25,0,0
3465,0,0
3468.75,0,0
3472.5,0,0
3476.25,0,0
3480,0,0
3483.75,0,0
3487.5,0,0
3491.25,0,0
3495,0,0
3498.75,0,0
3502.5,0,0
3506.25,0.001663893,0.0665557
3510,0,0
3513.75,0,0
3517.5,0.001663893,0.0665557
3521.25,0,0
3525,0,0
3528.75,0,0
3532.5,0,0
3536.25,0,0
3540,0.001663893,0.0665557
3543.75,0,0
3547.5,0,0
3551.25,0,0
3555,0,0
3558.75,0,0
3562.5,0,0
3566.25,0,0
3570,0,0
3573.75,0,0
3577.5,0,0
3581.25,0,0
3585,0,0
3588.75,0,0
3592.5,0,0
3596.25,0,0
3600,0,0
3603.75,0,0
3607.5,0,0
3611.25,0,0
3615,0,0
3618.75,0,0
3622.5,0,0
3626.25,0,0
3630,0,0
3633.75,0,0
3637.5,0,0
3641.25,0,0
3645,0,0
3648.75,0,0
3652.5,0,0
3656.25,0,0
3660,0,0
3663.75,0.001663893,0.0665557
3667.5,0,0
3671.25,0,0
3675,0,0
3678.75,0,0
3682.5,0,0
3686.25,0,0
3690,0,0
3693.75,0,0
3697.5,0,0
3701.25,0.001663893,0.0665557
3705,0,0
3708.75,0,0
3712.5,0,0
3716.25,0,0
3720,0.001663893,0.0665557
3723.75,0,0
3727.5,0,0
3731.25,0,0
3735,0.001663893,0.0665557
3738.75,0,0
3742.5,0,0
3746.25,0,0
3750,0,0
3753.75,0,0
3757.5,0,0
3761.25,0,0
3765,0,0
3768.75,0,0
3772.5,0,0
3776.25,0,0
3780,0,0
3783.75,0,0
3787.5,0,0
3791.25,0.001663893,0.0665557
3795,0,0
3798.75,0,0
3802.5,0.001663893,0.0665557
3806.25,0,0
3810,0,0
3813.75,0,0
3817.5,0,0
3821.25,0,0
3825,0,0
3828.75,0,0
3832.5,0,0
3836.25,0,0
3840,0,0
3843.75,0,0
3847.5,0,0
3851.25,0,0
3855,0,0
3858.75,0,0
3862.5,0,0
3866.25,0,0
3870,0,0
3873.75,0,0
3877.5,0,0
3881.25,0,0
3885,0,0
3888.75,0,0
3892.5,0,0
3896.25,0,0
3900,0,0
3903.75,0,0
3907.5,0,0
3911.25,0,0
3915,0,0
3918.75,0.001663893,0.0665557
3922.5,0,0
3926.25,0,0
3930,0,0
3933.75,0,0
3937.5,0,0
3941.25,0,0
3945,0,0
3948.75,0,0
3952.5,0,0
3956.25,0,0
3960,0,0
3963.75,0,0
3967.5,0,0
3971.25,0,0
3975,0,0
3978.75,0,0
3982.5,0,0
3986.25,0,0
3990,0,0
3993.75,0,0
3997.5,0,0
4001.25,0,0
4005,0,0
4008.75,0,0
4012.5,0,0
4016.25,0,0
4020,0.001663893,0.0665557
4023.75,0.001663893,0.0665557
4027.5,0,0
4031.25,0,0
4035,0,0
4038.75,0,0
4042.5,0,0
4046.25,0.001663893,0.0665557
4050,0,0
4053.75,0,0
4057.5,0,0
4061.25,0,0
4065,0,0
4068.75,0,0
4072.5,0,0
4076.25,0,0
4080,0,0
4083.75,0,0
4087.5,0,0
4091.25,0,0
4095,0,0
4098.75,0,0
4102.5,0,0
4106.25,0,0
4110,0,0
4113.75,0,0
4117.5,0,0
4121.25,0,0
4125,0,0
4128.75,0.001663893,0.0665557
4132.5,0,0
4136.25,0,0
4140,0,0
4143.75,0,0
4147.5,0,0
4151.25,0,0
4155,0,0
4158.75,0,0
4162.5,0,0
4166.25,0.001663893,0.0665557
4170,0,0
4173.75,0,0
4177.5,0,0
4181.25,0,0
4185,0,0
4188.75,0,0
4192.5,0,0
4196.25,0,0
4200,0,0
4203.75,0,0
4207.5,0,0
4211.25,0,0
4215,0,0
4218.75,0,0
4222.5,0,0
4226.25,0,0
4230,0,0
4233.75,0,0
4237.5,0,0
4241.25,0,0
4245,0,0
4248.75,0,0
4252.5,0,0
4256.25,0,0
4260,0,0
4263.75,0,0
4267.5,0,0
4271.25,0,0
4275,0,0
4278.75,0,0
4282.5,0,0
4286.25,0,0
4290,0,0
4293.75,0,0
4297.5,0,0
4301.25,0,0
4305,0,0
4308.75,0,0
4312.5,0,0
4316.25,0,0
4320,0,0
4323.75,0,0
4327.5,0,0
4331.25,0,0
4335,0,0
4338.75,0,0
4342.5,0,0
4346.25,0,0
4350,0,0
4353.75,0,0
4357.5,0,0
4361.25,0,0
4365,0.001663893,0.0665557
4368.75,0,0
4372.5,0,0
4376.25,0,0
4380,0,0
4383.75,0,0
4387.5,0,0
4391.25,0,0
4395,0,0
4398.75,0,0
4402.5,0,0
4406.25,0,0
4410,0,0
4413.75,0,0
4417.5,0,0
4421.25,0,0
4425,0,0
4428.75,0,0
4432.5,0,0
4436.25,0,0
4440,0,0
