bin_index,range_m,analog,analog_sterr,photon_counting,pc_sterr,overflow_info,photon_counting_shifted,pc_sterr_shifted,SNR_analog,SNR_Photon,photon_deadtime_corr_hz,photon_deadtime_corr,analog_bg_corr,photon_bg_corr,afterpulse_profile,photon_APcorr,analog_scaled_for_glue,weight_w,merged_sig,overlap_func,merged_counts_ovcorr,range2_corrected_counts,range2_corrected_counts_overlap,nrb,range2_norm
36,135.0,18.2256,0.0449288,175.993,0.846003,0.0,175.993,0.846003,405.6551699577999,208.02881313659645,381381828.19270134,381.38182819270133,12.555980539460538,381.3751732670542,7.823962755847847,373.5578654368535,993.8740014596458,0.0,993.8740014596458,0.2,4969.370007298228,18113353.676602043,90566768.38301021,724534147.0640817,0.7413406461327708
37,138.75,17.7764,0.0439276,172.003,0.857261,0.0,172.003,0.857261,404.67496516996147,200.6425114405064,363127709.6613214,363.1277096613214,12.106780539460537,363.12105473567425,7.562980340486277,355.5647293208351,958.5263169828813,0.0,958.5263169828813,0.2,4792.631584914407,18453129.29929075,92265646.49645376,738125171.97163,0.755246932299401
38,142.5,17.2247,0.0423895,171.052,0.85692,0.0,171.052,0.85692,406.3435520588825,199.61256593380944,358914944.30074495,358.91494430074493,11.555080539460537,358.9082893750978,7.314638185916202,351.60030611482875,915.1128763643794,0.0,915.1128763643794,0.2,4575.564381821897,18582510.84567418,92912554.22837089,743300433.8269671,0.7605422409929782
39,146.25,16.7891,0.0409521,172.738,0.845662,0.0,172.738,0.845662,409.969207928287,204.26364197516264,366419264.6872529,366.4192646872529,11.11948053946054,366.4126097616058,7.078217680360003,359.3410470068929,880.8353800195921,0.0,880.8353800195921,0.2,4404.17690009796,18840242.995450307,94201214.97725153,753609719.8180122,0.7710906640986913
40,150.0,16.4078,0.0391946,170.367,0.830653,0.0,170.367,0.830653,418.6239941216392,205.10008390988776,355912247.9631254,355.9122479631254,10.73818053946054,355.9055930374783,6.853043047469175,349.05920491565627,850.8307671723296,0.0,850.8307671723296,0.2,4254.153835861648,19143692.261377417,95718461.30688708,765747690.4550966,0.7835101905368853
41,153.75,15.9774,0.0388372,167.947,0.855214,0.0,167.947,0.855214,411.39423027406707,196.38008732317292,345511534.69563526,345.51153469563525,10.307780539460538,345.5048797699881,6.638478761524034,338.8730559341112,816.9624604074152,0.0,816.9624604074152,0.2,4084.812302037076,19312226.661724664,96561133.30862331,772489066.4689865,0.7904079414161397
42,157.5,15.6207,0.0388346,168.347,0.871929,0.0,168.347,0.871929,402.23666524182045,193.07420673013516,347208744.6271403,347.2087446271403,9.951080539460538,347.20208970149315,6.433927119082721,340.77481750805754,788.8936290341696,0.0,788.8936290341696,0.2,3944.468145170848,19569492.58522887,97847462.92614435,782779703.4091548,0.8009372828823155
43,161.25,15.3516,0.0374526,168.331,0.882163,0.0,168.331,0.882163,409.8941061501738,190.816209702742,347140691.7208932,347.1406917208932,9.68198053946054,347.13403679524606,6.23882595760305,340.9018657632901,767.7180682757162,0.0,767.7180682757162,0.2,3838.590341378581,19961869.3346503,99809346.67325151,798474773.386012,0.8169964201429825
44,165.0,15.008,0.0357282,167.346,0.861695,0.0,167.346,0.861695,420.06034448978676,194.20560639205289,342977485.4646623,342.9774854646623,9.338380539460537,342.9708305390152,6.052646512134821,336.9248389525275,740.6800798825366,0.0,740.6800798825366,0.2,3703.400399412683,20165015.174802057,100825075.8740103,806600606.9920822,0.8253107428844318
45,168.75,14.6433,0.0352135,166.361,0.841228,0.0,166.361,0.841228,415.8433555312593,197.75970367129958,338865399.26011443,338.86539926011443,8.973680539460538,338.8587443344673,5.874891401719632,332.9905078583948,711.9817260787165,0.0,711.9817260787165,0.2,3559.9086303935824,20274792.12153845,101373960.60769224,810991684.8615379,0.8298036774385208
